Nombre público en español,Serie,Modelo,URL actual,Categoría,Tipo magnético,Modo de limpieza,Estado de suministro,Especificaciones confirmadas,Campos pendientes,Aplicaciones,Imágenes,Estado de autorización,Estado de contenido
Separador por corrientes de Foucault,Por confirmar,,/es-cl/products/metal-detection-recycling-sorting/eccentric-eddy-current-separator,Metal Detection & Recycling Sorting,corrientes_foucault,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Tamaño de alimentación | Capacidad | Configuración de rotor | Divisor de producto,Reciclaje de metales | Clasificación de materiales | Recuperación de no ferrosos,18,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético permanente suspendido,Por confirmar,,/es-cl/products/metal-detection-recycling-sorting/electromagnet-separator,Metal Detection & Recycling Sorting,iman_permanente,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,18,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético permanente suspendido,Por confirmar,,/es-cl/products/metal-detection-recycling-sorting/magnetic-head-pulley,Metal Detection & Recycling Sorting,iman_permanente,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,14,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético permanente autolimpiante,Por confirmar,,/es-cl/products/metal-detection-recycling-sorting/permanent-overband-magnetic-separator,Metal Detection & Recycling Sorting,iman_permanente,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,26,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador por corrientes de Foucault,Por confirmar,,/es-cl/products/metal-detection-recycling-sorting/stainless-steel-separation-conveyor,Metal Detection & Recycling Sorting,corrientes_foucault,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Tamaño de alimentación | Capacidad | Configuración de rotor | Divisor de producto,Reciclaje de metales | Clasificación de materiales | Recuperación de no ferrosos,16,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Filtro y componente magnético para proceso,Por confirmar,,/es-cl/products/magnetic-components-filters/cbs-drawer-type-magnetic-filter,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,12,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CLC: Filtro y componente magnético para proceso,CLC,CLC,/es-cl/products/magnetic-components-filters/clc-type-wet-slot-magnetic-filter,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,6,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético permanente suspendido,Por confirmar,,/es-cl/products/magnetic-components-filters/ctq-type-roller-automatic-magnetic-separator,Magnetic Components & Filters,iman_permanente,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,11,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CYG: Filtro y componente magnético para proceso,CYG,CYG,/es-cl/products/magnetic-components-filters/cyg-wet-pipeline-magnetic-filter,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,9,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCYZ: Filtro y componente magnético para proceso,RCYZ,RCYZ,/es-cl/products/magnetic-components-filters/rcyz-type-pipeline-magnetic-filter,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CLC: Filtro y componente magnético para proceso,CLC,CLC,/es-cl/products/magnetic-components-filters/clc-type-slot-magnetic-filter,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético permanente suspendido,Por confirmar,,/es-cl/products/magnetic-components-filters/dhd-type-roller-type-automatic-magnetic-separator,Magnetic Components & Filters,iman_permanente,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético permanente suspendido,Por confirmar,,/es-cl/products/magnetic-components-filters/dhj-type-strong-roller-automatic-magnetic-separator,Magnetic Components & Filters,iman_permanente,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético para proceso húmedo,Por confirmar,,/es-cl/products/magnetic-components-filters/qcg-wet-roller-magnetic-separator,Magnetic Components & Filters,separacion_humeda,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineralogía | Granulometría | Caudal | Porcentaje de sólidos | Objetivo de separación,Procesamiento de minerales | Evaluación de relaves | Circuitos de pulpa,9,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Filtro y componente magnético para proceso,Por confirmar,,/es-cl/products/magnetic-components-filters/drawer-magnet,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Filtro y componente magnético para proceso,Por confirmar,,/es-cl/products/magnetic-components-filters/hump-magnet,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Filtro y componente magnético para proceso,Por confirmar,,/es-cl/products/magnetic-components-filters/magnetic-grid,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Filtro y componente magnético para proceso,Por confirmar,,/es-cl/products/magnetic-components-filters/magnetic-rod,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Filtro y componente magnético para proceso,Por confirmar,,/es-cl/products/magnetic-components-filters/magnetic-trap,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Filtro y componente magnético para proceso,Por confirmar,,/es-cl/products/magnetic-components-filters/rotary-pipe-magnet,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Filtro y componente magnético para proceso,Por confirmar,,/es-cl/products/magnetic-components-filters/permanent-filter-bar-magnetic-neodymium-rod,Magnetic Components & Filters,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,1,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Equipo auxiliar para integración de proceso,Por confirmar,,/es-cl/products/industry-application-equipment/high-frequency-screen,Industry Application Equipment,auxiliar,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Configuración eléctrica o mecánica | Condiciones ambientales | Compatibilidad de proceso,Equipos auxiliares de proceso | Integración de planta,11,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
KGLA: Equipo auxiliar para integración de proceso,KGLA,KGLA,/es-cl/products/industry-application-equipment/kgla-series-rectifier-control-box,Industry Application Equipment,auxiliar,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Configuración eléctrica o mecánica | Condiciones ambientales | Compatibilidad de proceso,Equipos auxiliares de proceso | Integración de planta,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
KXB: Equipo auxiliar para integración de proceso,KXB,KXB,/es-cl/products/industry-application-equipment/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box,Industry Application Equipment,auxiliar,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Configuración eléctrica o mecánica | Condiciones ambientales | Compatibilidad de proceso,Equipos auxiliares de proceso | Integración de planta,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
QJZ: Equipo auxiliar para integración de proceso,QJZ,QJZ,/es-cl/products/industry-application-equipment/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box,Industry Application Equipment,auxiliar,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Configuración eléctrica o mecánica | Condiciones ambientales | Compatibilidad de proceso,Equipos auxiliares de proceso | Integración de planta,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RBCDB: Separador electromagnético suspendido,RBCDB,RBCDB,/es-cl/products/industry-application-equipment/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover,Industry Application Equipment,electromagnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Alimentación eléctrica | Altura de suspensión | Ancho y velocidad de cinta | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RBCDD: Separador electromagnético autolimpiante,RBCDD,RBCDD,/es-cl/products/industry-application-equipment/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover,Industry Application Equipment,electromagnetico,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Alimentación eléctrica | Altura de suspensión | Ancho y velocidad de cinta | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RBCYD: Separador magnético permanente autolimpiante,RBCYD,RBCYD,/es-cl/products/industry-application-equipment/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover,Industry Application Equipment,iman_permanente,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,9,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Equipo auxiliar para integración de proceso,Por confirmar,,/es-cl/products/industry-application-equipment/round-electromagnetic-lifting-magnet,Industry Application Equipment,auxiliar,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Configuración eléctrica o mecánica | Condiciones ambientales | Compatibilidad de proceso,Equipos auxiliares de proceso | Integración de planta,1,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
